state,Jan,Feb,March,April,May,June,July,August,September,October
Alabama,4.3,4,3.8,3.6,3.4,3.3,3.2,3.1,3.1,3.1
Alaska,6.6,6.6,6.7,6.7,6.6,6.6,6.6,6.4,6.3,6.1
Arizona,6.7,6.9,6.7,6.7,6.7,6.8,6.6,6.2,5.7,5.2
Arkansas,4.6,4.5,4.4,4.4,4.4,4.4,4.3,4.2,4,3.7
California,9,8.5,8.3,8,7.7,7.6,7.6,7.5,7.5,7.3
Colorado,6.6,6.4,6.4,6.4,6.2,6.2,6.1,5.9,5.6,5.4
Connecticut,8.1,8.5,8.3,8.1,8.1,7.7,7.3,7.2,6.8,6.4
Delaware,6.1,6.3,6.5,6.4,5.9,5.8,5.6,5.4,5.4,5.3
Florida,4.8,4.7,4.7,4.8,4.9,5,5.1,5,4.8,4.6
Georgia,5.1,4.8,4.5,4.3,4.1,4,3.7,3.5,3.3,3.1
Hawaii,10.3,9.2,9.1,8.5,8,7.7,7.3,7,6.6,6.3
Idaho,3.5,3.3,3.2,3.1,3,3,3,2.9,2.9,2.8
Illinois,7.7,7.4,7.1,7.1,7.1,7.2,7.1,7,6.2,6
Indiana,4.2,4,3.9,3.9,4,4.1,4.1,4.1,3.5,3.3
Iowa,3.6,3.7,3.7,3.8,3.9,4,4.1,4.1,4,3.9
Kansas,3.4,3.8,3.7,3.5,3.5,3.7,3.8,3.8,3.9,3.9
Kentucky,5.3,5.2,5,4.7,4.5,4.4,4.4,4.3,4.3,4.2
Louisiana,7.6,7.6,7.4,7.2,7.1,6.9,6.6,6.2,5.8,5.4
Maine,5.2,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.8,4.9
Maryland,6.4,6.2,6.2,6.2,6.1,6.2,6,6,5.8,5.7
Massachusetts,7.8,7,6.7,6.4,5,4.9,4.9,5,5.2,5.3
Michigan,5.7,5.2,5.1,4.9,5,5,4.8,4.7,6.3,6.1
Minnesota,4.5,4.4,4.2,4.1,4,4,3.9,3.8,3.7,3.5
Mississippi,6.4,6.3,6.2,6.2,6.1,6.2,6.1,6,5.8,5.5
Missouri,4.3,4.3,4.2,4.1,4.2,4.3,4.2,4,3.8,3.7
Montana,4,3.9,3.8,3.7,3.6,3.7,3.6,3.5,3.3,3.1
Nebraska,3.2,3.1,2.9,2.8,2.6,2.5,2.3,2.2,2,1.9
Nevada,8.5,8.4,8.1,8,7.8,7.8,7.7,7.7,7.5,7.3
New Hampshire,3.6,3.3,3,2.8,2.9,2.9,2.9,3,2.9,2.9
New Jersey,7.8,7.8,7.6,7.5,7.2,7.2,7.3,7.2,7.1,7
New Mexico,8.7,8.3,8.3,8.1,7.9,7.9,7.6,7.2,6.9,6.5
New York,8.8,8.9,8.4,8.2,7.8,7.7,7.6,7.4,7.1,6.9
North Carolina,5.9,5.7,5.2,5,4.8,4.6,4.4,4.3,4.3,4.1
North Dakota,4.5,4.8,4.4,4.2,4,4,3.9,3.6,3.5,3.3
Ohio,5.3,5,4.7,4.7,5,5.2,5.4,5.4,5.3,5.1
Oklahoma,4.4,4.4,4.3,4.1,3.9,3.7,3.5,3.3,3,2.7
Oregon,6.2,6.1,6,5.9,5.8,5.6,5.2,5,4.7,4.4
Pennsylvania,7.3,7.4,7.3,7.1,7,6.9,6.5,6.4,6.2,6
Rhode Island,7.2,7.3,7,6.3,6,5.9,5.7,5.8,5.2,5.4
South Carolina,5.3,5.2,5.1,5,4.6,4.5,4.3,4.2,4.1,3.9
South Dakota,3.1,3,2.9,2.8,2.8,2.9,2.9,2.9,2.9,2.8
Tennessee,5.1,4.9,5.1,5,5,4.9,4.7,4.6,4.4,4.2
Texas,6.8,6.9,6.9,6.7,6.6,6.5,6.2,5.9,5.6,5.4
Utah,3.1,3,2.9,2.8,2.7,2.7,2.6,2.5,2.4,2.2
Vermont,3.2,3,2.9,2.9,3,3.1,3,3,2.8,2.8
Virginia,5.3,5.2,5.1,4.7,4.5,4.3,4.2,4,3.8,3.6
Washington,6,5.6,5.5,5.4,5.2,5.2,5.1,5.1,5.1,5
West Virginia,6.5,6.2,5.9,5.8,5.5,5.3,5,4.8,4.6,4.3
Wisconsin,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.4,3.2
Wyoming,5.1,5.3,5.3,5.4,5.4,5.4,5.2,4.9,4.5,4.1
